Item Number,Diameter (mm),Dimension Tol,Thickness (mm),Thickness Tol,Orientation ,Finish,TTV,Bow,Edge,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Packaging
CQTSHTB270001,25.4,+/- 0.20mm,0.5,+/- 50um,N/A,60/40,2,5,CNC ground,10,$6.70 ,$6.30 ,$5.75 ,$5.10 ,Jar Pk
CQTSHTB270002,25.4,+/- 0.20mm,0.5,+/- 50um,N/A,40/20,2,5,CNC ground,10,$6.90 ,$6.40 ,$5.95 ,$5.35 ,Jar Pk
CQTSHTB270003,25.4,+/- 0.20mm,0.5,+/- 50um,N/A,20/10,2,5,CNC ground,10,$7.10 ,$6.60 ,$6.15 ,$5.75 ,Jar Pk
CQTSHTB270004,25.4,+/- 0.20mm,0.7,+/- 50um,N/A,60/40,2,5,CNC ground,10,$6.70 ,$6.30 ,$5.75 ,$5.10 ,Jar Pk
CQTSHTB270005,25.4,+/- 0.20mm,0.7,+/- 50um,N/A,40/20,2,5,CNC ground,10,$6.90 ,$6.40 ,$5.95 ,$5.35 ,Jar Pk
CQTSHTB270006,25.4,+/- 0.20mm,0.7,+/- 50um,N/A,20/10,2,5,CNC ground,10,$7.10 ,$6.60 ,$6.15 ,$5.75 ,Jar Pk
CQTSHTB270007,25.4,+/- 0.20mm,1.1,+/- 50um,N/A,60/40,2,5,CNC ground,10,$6.70 ,$6.30 ,$5.75 ,$5.10 ,Jar Pk
CQTSHTB270008,25.4,+/- 0.20mm,1.1,+/- 50um,N/A,40/20,2,5,CNC ground,10,$6.90 ,$6.40 ,$5.95 ,$5.35 ,Jar Pk
CQTSHTB270009,25.4,+/- 0.20mm,1.1,+/- 50um,N/A,20/10,2,5,CNC ground,10,$7.10 ,$6.60 ,$6.15 ,$5.75 ,Jar Pk
CQTSHTB270010,50.8,+/- 0.20mm,0.5,+/- 50um,N/A,60/40,2,10,CNC ground,10,$7.00 ,$6.55 ,$6.10 ,$5.75 ,Jar Pk
CQTSHTB270011,50.8,+/- 0.20mm,0.5,+/- 50um,N/A,40/20,2,10,CNC ground,10,$7.55 ,$7.05 ,$6.60 ,$6.00 ,Jar Pk
CQTSHTB270012,50.8,+/- 0.20mm,0.5,+/- 50um,N/A,20/10,2,10,CNC ground,10,$8.00 ,$7.50 ,$7.00 ,$6.60 ,Jar Pk
CQTSHTB270013,50.8,+/- 0.20mm,0.7,+/- 50um,N/A,60/40,2,10,CNC ground,10,$6.70 ,$6.20 ,$5.80 ,$5.40 ,Jar Pk
CQTSHTB270014,50.8,+/- 0.20mm,0.7,+/- 50um,N/A,40/20,2,10,CNC ground,10,$7.10 ,$6.60 ,$6.20 ,$5.75 ,Jar Pk
CQTSHTB270015,50.8,+/- 0.20mm,0.7,+/- 50um,N/A,20/10,2,10,CNC ground,10,$7.50 ,$7.00 ,$6.50 ,$6.00 ,Jar Pk
