Item Number	Diameter (mm)	Dimension Tol	Thickness (mm)	Thickness Tol	Orientation 	Finish	TTV	Bow	Edge	Min Quantity	Price Each	25 - 49	50 - 99	100 +	Packaging
CQTSHTB270001	25.4	+/- 0.20mm	0.5	+/- 50um	N/A	60/40	2	5	CNC ground	10	$6.70	$3.40	$1.90	$1.70	Jar Pk
CQTSHTB270002	25.4	+/- 0.20mm	0.5	+/- 50um	N/A	40/20	2	5	CNC ground	10	$6.70	$3.40	$1.90	$1.70	Jar Pk
CQTSHTB270003	25.4	+/- 0.20mm	0.5	+/- 50um	N/A	20/10	2	5	CNC ground	10	$6.70	$3.40	$2.10	$2.00	Jar Pk
CQTSHTB270004	25.4	+/- 0.20mm	0.7	+/- 50um	N/A	60/40	2	5	CNC ground	10	$6.70	$3.40	$1.90	$1.70	Jar Pk
CQTSHTB270005	25.4	+/- 0.20mm	0.7	+/- 50um	N/A	40/20	2	5	CNC ground	10	$6.70	$3.40	$1.90	$1.70	Jar Pk
CQTSHTB270006	25.4	+/- 0.20mm	0.7	+/- 50um	N/A	20/10	2	5	CNC ground	10	$6.70	$3.40	$2.10	$2.00	Jar Pk
CQTSHTB270007	25.4	+/- 0.20mm	1.1	+/- 50um	N/A	60/40	2	5	CNC ground	10	$6.70	$3.40	$1.90	$1.70	Jar Pk
CQTSHTB270008	25.4	+/- 0.20mm	1.1	+/- 50um	N/A	40/20	2	5	CNC ground	10	$6.70	$3.40	$1.90	$1.70	Jar Pk
CQTSHTB270009	25.4	+/- 0.20mm	1.1	+/- 50um	N/A	20/10	2	5	CNC ground	10	$6.70	$3.40	$2.10	$2.00	Jar Pk
CQTSHTB270010	50.8	+/- 0.20mm	0.5	+/- 50um	N/A	60/40	2	10	CNC ground	10	$6.70	$4.00	$4.20	$3.90	Jar Pk
CQTSHTB270011	50.8	+/- 0.20mm	0.5	+/- 50um	N/A	40/20	2	10	CNC ground	10	$6.70	$4.00	$4.20	$3.90	Jar Pk
CQTSHTB270012	50.8	+/- 0.20mm	0.5	+/- 50um	N/A	20/10	2	10	CNC ground	10	$6.70	$4.40	$4.60	$4.30	Jar Pk
CQTSHTB270013	50.8	+/- 0.20mm	0.7	+/- 50um	N/A	60/40	2	10	CNC ground	10	$6.70	$4.00	$4.20	$3.90	Jar Pk
CQTSHTB270014	50.8	+/- 0.20mm	0.7	+/- 50um	N/A	40/20	2	10	CNC ground	10	$6.70	$4.00	$4.20	$3.90	Jar Pk
CQTSHTB270015	50.8	+/- 0.20mm	0.7	+/- 50um	N/A	20/10	2	10	CNC ground	10	$6.70	$4.40	$4.60	$3.90	Jar Pk
CQTSHTB270016	50.8	+/- 0.20mm	1.1	+/- 50um	N/A	60/40	2	10	CNC ground	10	$6.70	$4.00	$4.20	$3.90	Jar Pk
CQTSHTB270017	50.8	+/- 0.20mm	1.1	+/- 50um	N/A	40/20	2	10	CNC ground	10	$6.70	$4.00	$4.20	$3.90	Jar Pk
CQTSHTB270018	50.8	+/- 0.20mm	1.1	+/- 50um	N/A	20/10	2	10	CNC ground	10	$6.70	$4.40	$4.60	$4.30	Jar Pk
CQTSHTB270019	76.2	+/- 0.20mm	0.5	+/- 50um	N/A	60/40	2	15	CNC ground	10	$8.40	$6.70	$7.00	$6.50	Jar Pk
CQTSHTB270020	76.2	+/- 0.20mm	0.5	+/- 50um	N/A	40/20	2	15	CNC ground	10	$8.40	$6.70	$7.00	$6.50	Jar Pk
CQTSHTB270021	76.2	+/- 0.20mm	0.5	+/- 50um	N/A	20/10	2	15	CNC ground	10	$8.80	$7.00	$7.40	$6.90	Jar Pk
CQTSHTB270022	76.2	+/- 0.20mm	0.7	+/- 50um	N/A	60/40	2	15	CNC ground	10	$8.40	$6.70	$7.00	$6.50	Jar Pk
CQTSHTB270023	76.2	+/- 0.20mm	0.7	+/- 50um	N/A	40/20	2	15	CNC ground	10	$8.40	$6.70	$7.00	$6.50	Jar Pk
CQTSHTB270024	76.2	+/- 0.20mm	0.7	+/- 50um	N/A	20/10	2	15	CNC ground	10	$8.80	$7.00	$7.40	$6.90	Jar Pk
CQTSHTB270025	76.2	+/- 0.20mm	1.1	+/- 50um	N/A	60/40	2	15	CNC ground	10	$8.40	$6.70	$7.00	$6.50	Jar Pk
CQTSHTB270026	76.2	+/- 0.20mm	1.1	+/- 50um	N/A	40/20	2	15	CNC ground	10	$8.40	$6.70	$7.00	$6.50	Jar Pk
CQTSHTB270027	76.2	+/- 0.20mm	1.1	+/- 50um	N/A	20/10	2	15	CNC ground	10	$8.80	$7.00	$7.40	$6.90	Jar Pk
CQTSHTB270028	100	+/- 0.20mm	0.5	+/- 50um	N/A	60/40	3	20	CNC ground	10	$15.00	$12.00	$12.60	$11.70	Jar Pk
CQTSHTB270029	100	+/- 0.20mm	0.5	+/- 50um	N/A	40/20	3	20	CNC ground	10	$15.00	$12.00	$12.60	$11.70	Jar Pk
CQTSHTB270030	100	+/- 0.20mm	0.5	+/- 50um	N/A	20/10	3	20	CNC ground	10	$15.50	$12.40	$13.00	$12.10	Jar Pk
CQTSHTB270031	100	+/- 0.20mm	0.7	+/- 50um	N/A	60/40	3	20	CNC ground	10	$15.00	$12.00	$12.60	$11.70	Jar Pk
CQTSHTB270032	100	+/- 0.20mm	0.7	+/- 50um	N/A	40/20	3	20	CNC ground	10	$15.00	$12.00	$12.60	$11.70	Jar Pk
CQTSHTB270033	100	+/- 0.20mm	0.7	+/- 50um	N/A	20/10	3	20	CNC ground	10	$15.50	$12.40	$13.00	$12.10	Jar Pk
CQTSHTB270034	100	+/- 0.20mm	1.1	+/- 50um	N/A	60/40	3	20	CNC ground	10	$15.00	$12.00	$12.60	$11.70	Jar Pk
CQTSHTB270035	100	+/- 0.20mm	1.1	+/- 50um	N/A	40/20	3	20	CNC ground	10	$15.00	$12.00	$12.60	$11.70	Jar Pk
CQTSHTB270036	100	+/- 0.20mm	1.1	+/- 50um	N/A	20/10	3	20	CNC ground	10	$15.50	$12.40	$13.00	$12.10	Jar Pk
