Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,CORESIX
CQTSHTBORO33001,25.4,0.5,60/40,10,$8.95 ,$8.25 ,$7.65 ,$7.15 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33002,25.4,0.5,40/20,10,$9.90 ,$9.15 ,$8.50 ,$7.95 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33003,25.4,0.5,20/10,10,$11.40 ,$10.60 ,$9.90 ,$9.30 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33004,25.4,0.7,60/40,10,$7.50 ,$7.00 ,$6.55 ,$6.15 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33005,25.4,0.7,40/20,10,$8.30 ,$7.75 ,$7.25 ,$6.80 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33006,25.4,0.7,20/10,10,$9.30 ,$8.70 ,$8.15 ,$7.65 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33007,25.4,1.1,60/40,10,$7.20 ,$6.70 ,$6.25 ,$5.85 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33008,25.4,1.1,40/20,10,$8.00 ,$7.45 ,$6.95 ,$6.50 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33009,25.4,1.1,20/10,10,$9.00 ,$8.40 ,$7.85 ,$7.35 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33010,50.8,0.5,60/40,10,$15.20 ,$13.90 ,$12.80 ,$11.90 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33011,50.8,0.5,40/20,10,$16.30 ,$14.90 ,$13.70 ,$12.70 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33012,50.8,0.5,20/10,10,$17.50 ,$16.00 ,$14.70 ,$13.60 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33013,50.8,0.7,60/40,10,$8.95 ,$8.25 ,$7.65 ,$7.15 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33014,50.8,0.7,40/20,10,$9.90 ,$9.15 ,$8.50 ,$7.95 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33015,50.8,0.7,20/10,10,$11.40 ,$10.60 ,$9.90 ,$9.30 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33016,50.8,1.1,60/40,10,$8.60 ,$7.90 ,$7.30 ,$6.80 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33017,50.8,1.1,40/20,10,$9.50 ,$8.75 ,$8.10 ,$7.55 ,N/A,+/- 50um,+/- 0.20mm,
CQTSHTBORO33018,50.8,1.1,20/10,10,$11.00 ,$10.20 ,$9.50 ,$8.90 ,N/A,+/- 50um,+/- 0.20mm,
CGS1100,76.2,0.5,80/50,10,$14.80 ,$13.70 ,$12.70 ,$11.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.90 
CGS1101,76.2,0.5,60/40,10,$19.60 ,$18.10 ,$16.80 ,$15.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.80 
CGS1102,76.2,0.5,40/20,10,$21.40 ,$19.80 ,$18.40 ,$17.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$12.90 
CGS1103,76.2,0.5,20/10,10,$23.50 ,$21.70 ,$20.20 ,$18.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$14.10 
CGS1104,76.2,0.7,80/50,10,$9.50 ,$8.80 ,$8.20 ,$7.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.70 
CGS1105,76.2,0.7,60/40,10,$11.30 ,$10.40 ,$9.70 ,$9.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.80 
CGS1106,76.2,0.7,40/20,10,$12.80 ,$11.80 ,$11.00 ,$10.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.70 
CGS1107,76.2,0.7,20/10,10,$14.80 ,$13.70 ,$12.70 ,$11.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.90 
CGS1108,76.2,1.1,80/50,10,$9.00 ,$8.30 ,$7.70 ,$7.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.40 
CGS1109,76.2,1.1,60/40,10,$10.70 ,$9.90 ,$9.20 ,$8.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.40 
CGS1110,76.2,1.1,40/20,10,$12.10 ,$11.20 ,$10.40 ,$9.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.30 
CGS1111,76.2,1.1,20/10,10,$14.00 ,$12.90 ,$12.00 ,$11.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.40 
CGS1112,100,0.5,80/50,10,$20.10 ,$18.60 ,$17.30 ,$16.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$12.10 
CGS1113,100,0.5,60/40,10,$25.60 ,$23.60 ,$21.90 ,$20.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$15.40 
CGS1114,100,0.5,40/20,10,$27.90 ,$25.80 ,$24.00 ,$22.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$16.80 
CGS1115,100,0.5,20/10,10,$30.70 ,$28.30 ,$26.30 ,$24.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$18.40 
CGS1116,100,0.7,80/50,10,$12.40 ,$11.50 ,$10.60 ,$9.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.50 
CGS1117,100,0.7,60/40,10,$14.40 ,$13.30 ,$12.30 ,$11.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.60 
CGS1118,100,0.7,40/20,10,$16.40 ,$15.10 ,$14.10 ,$13.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.90 
CGS1119,100,0.7,20/10,10,$19.00 ,$17.60 ,$16.30 ,$15.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.40 
CGS1120,100,1.1,80/50,10,$11.50 ,$10.70 ,$9.90 ,$9.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.90 
CGS1121,100,1.1,60/40,10,$13.50 ,$12.50 ,$11.60 ,$10.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.10 
CGS1122,100,1.1,40/20,10,$15.40 ,$14.20 ,$13.20 ,$12.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.20 
CGS1123,100,1.1,20/10,10,$17.80 ,$16.50 ,$15.30 ,$14.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$10.70 
CGS1124,150,0.5,80/50,10,$31.30 ,$28.90 ,$26.80 ,$25.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$18.80 
CGS1125,150,0.5,60/40,10,$38.30 ,$35.30 ,$32.80 ,$30.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$23.00 
CGS1126,150,0.5,40/20,10,$41.80 ,$38.60 ,$35.90 ,$33.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$25.10 
CGS1127,150,0.5,20/10,10,$46.00 ,$42.50 ,$39.40 ,$36.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$27.60 
CGS1128,150,0.7,80/50,10,$21.70 ,$20.00 ,$18.60 ,$17.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$13.00 
CGS1129,150,0.7,60/40,10,$24.40 ,$22.60 ,$20.90 ,$19.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$14.70 
CGS1130,150,0.7,40/20,10,$27.90 ,$25.70 ,$23.90 ,$22.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$16.70 
CGS1131,150,0.7,20/10,10,$32.40 ,$29.90 ,$27.70 ,$25.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$19.40 
CGS1132,150,1.1,80/50,10,$19.70 ,$18.20 ,$16.90 ,$15.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.80 
CGS1133,150,1.1,60/40,10,$22.40 ,$20.70 ,$19.20 ,$17.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$13.50 
CGS1134,150,1.1,40/20,10,$25.50 ,$23.60 ,$21.90 ,$20.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$15.30 
CGS1135,150,1.1,20/10,10,$29.60 ,$27.30 ,$25.40 ,$23.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$17.80 
CGS1136,200,0.5,80/50,10,$44.60 ,$41.20 ,$38.30 ,$35.70 ,SEMI Notch,+/- 50um,+/- 0.20mm,$26.80 
CGS1137,200,0.5,60/40,10,$55.90 ,$51.60 ,$47.90 ,$44.70 ,SEMI Notch,+/- 50um,+/- 0.20mm,$33.60 
CGS1138,200,0.5,40/20,10,$61.10 ,$56.40 ,$52.40 ,$48.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,$36.70 
CGS1139,200,0.5,20/10,10,$67.20 ,$62.10 ,$57.60 ,$53.80 ,SEMI Notch,+/- 50um,+/- 0.20mm,$40.40 
CGS1140,200,0.7,80/50,10,$34.10 ,$31.50 ,$29.30 ,$27.30 ,SEMI Notch,+/- 50um,+/- 0.20mm,$20.50 
CGS1141,200,0.7,60/40,10,$36.50 ,$33.70 ,$31.30 ,$29.20 ,SEMI Notch,+/- 50um,+/- 0.20mm,$21.90 
CGS1142,200,0.7,40/20,10,$41.70 ,$38.50 ,$35.80 ,$33.40 ,SEMI Notch,+/- 50um,+/- 0.20mm,$25.10 
CGS1143,200,0.7,20/10,10,$48.60 ,$44.80 ,$41.60 ,$38.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,$29.20 
CGS1144,200,1.1,80/50,10,$29.80 ,$27.50 ,$25.60 ,$23.90 ,SEMI Notch,+/- 50um,+/- 0.20mm,$17.90 
CGS1145,200,1.1,60/40,10,$32.90 ,$30.40 ,$28.20 ,$26.40 ,SEMI Notch,+/- 50um,+/- 0.20mm,$19.80 
CGS1146,200,1.1,40/20,10,$37.60 ,$34.70 ,$32.30 ,$30.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$22.60 
CGS1147,200,1.1,20/10,10,$43.70 ,$40.40 ,$37.50 ,$35.00 ,SEMI Notch,+/- 50um,+/- 0.20mm,$26.30 
