Item Number,Material,Thickness (mm),Stock Length,Stock Width,Price Each,Length,Width,Quality,Thickness Tol,Dimensional Tol
EXGSTK030,Eagle XG,0.3,1510,960,35.6,0,0,80/50,+/-0.03,+/-0.20
EXGSTK040,Eagle XG,0.4,1350,1240,21.9,0,0,80/50,+/-0.04,+/-0.20
EXGSTK050,Eagle XG,0.5,1350,1230,18.5,0,0,80/50,+/-0.05,+/-0.20
EXGSTK070,Eagle XG,0.7,1350,1150,17.7,0,0,80/50,+/-0.07,+/-0.20
EXGSTK110,Eagle XG,1.1,1340,1550,21.4,0,0,80/50,+/-0.10,+/-0.20
BORSTK070,Borofloat,0.7,850.9,1123.95,22.5,0,0,80/50,+/-0.07,+/-0.20
BORSTK110,Borofloat,1.1,850.9,1123.95,20,0,0,80/50,+/-0.10,+/-0.20
BORSTK175,Borofloat,1.75,850.9,1123.95,12,0,0,80/50,+/-0.20,+/-0.20
BORSTK200,Borofloat,2,850.9,1123.95,11.5,0,0,80/50,+/-0.20,+/-0.25
BORSTK225,Borofloat,2.25,850.9,1123.95,11.3,0,0,80/50,+/-0.20,+/-0.25
BORSTK275,Borofloat,2.75,850.9,1123.95,11.3,0,0,80/50,+/-0.20,+/-0.25
BORSTK330,Borofloat,3.3,850.9,1123.95,12.3,0,0,80/50,+/-0.20,+/-0.25
