Item Number,Material,Thickness (mm),Stock Length,Stock Width,Price Each,Length,Width,Min Quantity
CGS3001,Eagle XG,0.3,"59.45""","37.80""",$23.75 ,0,0,0
CGS3002,Eagle XG,0.4,"53.15""","48.82""",$23.50 ,0,0,0
CGS3003,Eagle XG,0.5,"53.15""","48.43""",$22.00 ,0,0,0
CGS3004,Eagle XG,0.7,"53.15""","45.28""",$21.00 ,0,0,0
CGS3005,Eagle XG,1.1,"52.76""","61.02""",$19.00 ,0,0,0
CGS3006,Borofloat,0.7,"33.50""","44.25""",$32.70 ,0,0,0
CGS3007,Borofloat,1.1,"33.50""","44.25""",$29.10 ,0,0,0
CGS3008,Borofloat,1.75,"33.50""","44.25""",$17.60 ,0,0,0
CGS3009,Borofloat,2,"33.50""","44.25""",$16.70 ,0,0,0
CGS3010,Borofloat,2.25,"33.50""","44.25""",$16.40 ,0,0,0
CGS3011,Borofloat,2.75,"33.50""","44.25""",$16.40 ,0,0,0
CGS3012,Borofloat,3.3,"33.50""","44.25""",$17.70 ,0,0,0
CGS3013,D263,0.1,"17.32""","14.17""",$19.40 ,0,0,0
CGS3014,D263,0.2,"17.32""","14.17""",$21.60 ,0,0,0
CGS3015,D263,0.3,"17.32""","14.17""",$27.90 ,0,0,0
CGS3016,D263,0.5,"17.32""","14.17""",$29.40 ,0,0,0
CGS3017,D263,0.7,"17.32""","14.17""",$45.30 ,0,0,0
CGS3018,D263,1.1,"17.32""","14.17""",$70.00 ,0,0,0
CGS3019,Willow,0.1,"47.25""","47.25""",$26.00 ,0,0,0
CGS3020,Willow,0.2,"47.25""","47.25""",$22.00 ,0,0,0
