Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,CORESIX
CGS1161,76.2,0.2,80/50,10,$9.40 ,$8.70 ,$8.10 ,$7.50 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$5.70
CGS1162,76.2,0.2,60/40,10,$10.70 ,$9.90 ,$9.20 ,$8.60 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$6.40
CGS1163,76.2,0.2,40/20,10,$12.40 ,$11.50 ,$10.60 ,$9.90 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$7.50
CGS1164,76.2,0.2,20/10,10,$14.70 ,$13.60 ,$12.60 ,$11.80 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$8.80
CGS1165,76.2,0.3,80/50,10,$9.60 ,$8.90 ,$8.30 ,$7.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.80
CGS1166,76.2,0.3,60/40,10,$11.80 ,$10.90 ,$10.20 ,$9.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.10
CGS1167,76.2,0.3,40/20,10,$13.50 ,$12.40 ,$11.60 ,$10.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.10
CGS1168,76.2,0.3,20/10,10,$15.60 ,$14.40 ,$13.40 ,$12.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.40
CGS1169,76.2,0.5,80/50,10,$10.10 ,$9.30 ,$8.70 ,$8.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.10
CGS1170,76.2,0.5,60/40,10,$11.90 ,$11.00 ,$10.20 ,$9.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.20
CGS1171,76.2,0.5,40/20,10,$13.50 ,$12.50 ,$11.60 ,$10.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.10
CGS1172,76.2,0.5,20/10,10,$15.70 ,$14.50 ,$13.40 ,$12.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.40
CGS1173,76.2,0.7,80/50,10,$10.60 ,$9.80 ,$9.10 ,$8.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.40
CGS1174,76.2,0.7,60/40,10,$12.30 ,$11.30 ,$10.50 ,$9.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.40
CGS1175,76.2,0.7,40/20,10,$14.00 ,$12.90 ,$12.00 ,$11.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.40
CGS1176,76.2,0.7,20/10,10,$16.20 ,$14.90 ,$13.90 ,$12.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.70
CGS1177,100,0.2,80/50,10,$12.00 ,$11.10 ,$10.30 ,$9.60 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$7.20
CGS1178,100,0.2,60/40,10,$13.70 ,$12.60 ,$11.70 ,$11.00 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$8.20
CGS1179,100,0.2,40/20,10,$15.90 ,$14.70 ,$13.60 ,$12.70 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$9.60
CGS1180,100,0.2,20/10,10,$18.90 ,$17.40 ,$16.20 ,$15.10 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$11.30
CGS1181,100,0.3,80/50,10,$12.40 ,$11.40 ,$10.60 ,$9.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.40
CGS1182,100,0.3,60/40,10,$14.90 ,$13.70 ,$12.80 ,$11.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.90
CGS1183,100,0.3,40/20,10,$17.00 ,$15.70 ,$14.50 ,$13.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$10.20
CGS1184,100,0.3,20/10,10,$19.70 ,$18.20 ,$16.90 ,$15.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$11.80
CGS1185,100,0.5,80/50,10,$13.10 ,$12.10 ,$11.30 ,$10.50 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.90
CGS1186,100,0.5,60/40,10,$15.10 ,$14.00 ,$13.00 ,$12.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.10
CGS1187,100,0.5,40/20,10,$17.30 ,$15.90 ,$14.80 ,$13.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$10.40
CGS1188,100,0.5,20/10,10,$20.00 ,$18.50 ,$17.20 ,$16.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$12.00
CGS1189,100,0.7,80/50,10,$13.90 ,$12.80 ,$11.90 ,$11.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.40
CGS1190,100,0.7,60/40,10,$15.80 ,$14.60 ,$13.50 ,$12.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.50
CGS1191,100,0.7,40/20,10,$18.00 ,$16.70 ,$15.50 ,$14.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$10.80
CGS1192,100,0.7,20/10,10,$20.90 ,$19.30 ,$18.00 ,$16.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$12.60
CGS1193,150,0.2,80/50,10,$25.00 ,$23.10 ,$21.40 ,$20.00 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$15.00
CGS1194,150,0.2,60/40,10,$28.60 ,$26.40 ,$24.60 ,$22.90 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$17.20
CGS1195,150,0.2,40/20,10,$33.40 ,$30.80 ,$28.60 ,$26.70 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$20.00
CGS1196,150,0.2,20/10,10,$39.70 ,$36.70 ,$34.10 ,$31.80 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$23.90
CGS1197,150,0.3,80/50,10,$26.20 ,$24.20 ,$22.40 ,$20.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$15.70
CGS1198,150,0.3,60/40,10,$29.70 ,$27.40 ,$25.50 ,$23.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$17.90
CGS1199,150,0.3,40/20,10,$34.00 ,$31.40 ,$29.10 ,$27.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$20.40
CGS1200,150,0.3,20/10,10,$39.50 ,$36.50 ,$33.90 ,$31.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$23.70
CGS1201,150,0.5,80/50,10,$28.50 ,$26.30 ,$24.40 ,$22.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$17.10
CGS1202,150,0.5,60/40,10,$31.40 ,$29.00 ,$26.90 ,$25.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$18.90
CGS1203,150,0.5,40/20,10,$35.90 ,$33.20 ,$30.80 ,$28.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$21.60
CGS1204,150,0.5,20/10,10,$41.80 ,$38.60 ,$35.80 ,$33.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$25.10
CGS1205,150,0.7,80/50,10,$30.80 ,$28.40 ,$26.40 ,$24.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$18.50
CGS1206,150,0.7,60/40,10,$33.80 ,$31.20 ,$29.00 ,$27.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$20.30
CGS1207,150,0.7,40/20,10,$38.70 ,$35.70 ,$33.10 ,$30.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$23.20
CGS1208,150,0.7,20/10,10,$45.00 ,$41.60 ,$38.60 ,$36.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$27.00
CGS1209,200,0.2,80/50,10,$43.60 ,$40.20 ,$37.30 ,$34.90 ,SEMI Notch,+/- 30um,+/- 0.20mm,$26.20
CGS1210,200,0.2,60/40,10,$50.00 ,$46.20 ,$42.90 ,$40.00 ,SEMI Notch,+/- 30um,+/- 0.20mm,$30.00
CGS1211,200,0.2,40/20,10,$58.40 ,$53.90 ,$50.00 ,$46.70 ,SEMI Notch,+/- 30um,+/- 0.20mm,$35.00
CGS1212,200,0.2,20/10,10,$69.60 ,$64.20 ,$59.60 ,$55.70 ,SEMI Notch,+/- 30um,+/- 0.20mm,$41.80
CGS1213,200,0.3,80/50,10,$45.90 ,$42.40 ,$39.30 ,$36.70 ,SEMI Notch,+/- 50um,+/- 0.20mm,$27.50
CGS1214,200,0.3,60/40,10,$49.90 ,$46.10 ,$42.80 ,$40.00 ,SEMI Notch,+/- 50um,+/- 0.20mm,$30.00
CGS1215,200,0.3,40/20,10,$57.30 ,$52.90 ,$49.10 ,$45.80 ,SEMI Notch,+/- 50um,+/- 0.20mm,$34.40
CGS1216,200,0.3,20/10,10,$66.80 ,$61.60 ,$57.20 ,$53.40 ,SEMI Notch,+/- 50um,+/- 0.20mm,$40.10
CGS1217,200,0.5,80/50,10,$51.30 ,$47.40 ,$44.00 ,$41.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$30.80
CGS1218,200,0.5,60/40,10,$54.20 ,$50.00 ,$46.40 ,$43.30 ,SEMI Notch,+/- 50um,+/- 0.20mm,$32.50
CGS1219,200,0.5,40/20,10,$62.10 ,$57.40 ,$53.30 ,$49.70 ,SEMI Notch,+/- 50um,+/- 0.20mm,$37.30
CGS1220,200,0.5,20/10,10,$72.50 ,$66.90 ,$62.10 ,$58.00 ,SEMI Notch,+/- 50um,+/- 0.20mm,$43.50
CGS1221,200,0.7,80/50,10,$55.10 ,$50.90 ,$47.30 ,$44.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$33.10
CGS1222,200,0.7,60/40,10,$58.90 ,$54.40 ,$50.50 ,$47.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$35.40
CGS1223,200,0.7,40/20,10,$67.60 ,$62.40 ,$58.00 ,$54.10 ,SEMI Notch,+/- 50um,+/- 0.20mm,$40.60
CGS1224,200,0.7,20/10,10,$78.90 ,$72.90 ,$67.70 ,$63.20 ,SEMI Notch,+/- 50um,+/- 0.20mm,$47.40
