Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,CORESIX
CQTEAGLEXG001,25.4,0.5,60/40,10,$7.45 ,$6.80 ,$6.35 ,$5.95 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG002,25.4,0.5,40/20,10,$7.85 ,$7.15 ,$6.65 ,$6.25 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG003,25.4,0.5,20/10,10,$8.25 ,$7.45 ,$6.90 ,$6.45 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG004,25.4,0.7,60/40,10,$6.95 ,$6.30 ,$5.85 ,$5.45 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG005,25.4,0.7,40/20,10,$7.35 ,$6.65 ,$6.15 ,$5.75 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG006,25.4,0.7,20/10,10,$7.75 ,$6.95 ,$6.40 ,$5.95 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG007,25.4,1.1,60/40,10,$7.20 ,$6.55 ,$6.10 ,$5.70 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG008,25.4,1.1,40/20,10,$7.60 ,$6.90 ,$6.40 ,$6.00 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG009,25.4,1.1,20/10,10,$8.00 ,$7.20 ,$6.65 ,$6.20 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG010,50.8,0.5,60/40,10,$8.75 ,$7.95 ,$7.40 ,$6.95 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG011,50.8,0.5,40/20,10,$9.25 ,$8.40 ,$7.80 ,$7.30 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG012,50.8,0.5,20/10,10,$9.75 ,$8.85 ,$8.20 ,$7.65 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG013,50.8,0.7,60/40,10,$8.25 ,$7.45 ,$6.90 ,$6.45 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG014,50.8,0.7,40/20,10,$8.75 ,$7.90 ,$7.30 ,$6.80 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG015,50.8,0.7,20/10,10,$9.25 ,$8.35 ,$7.70 ,$7.15 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG016,50.8,1.1,60/40,10,$8.50 ,$7.70 ,$7.15 ,$6.70 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG017,50.8,1.1,40/20,10,$9.00 ,$8.15 ,$7.55 ,$7.05 ,N/A,+/- 50um,+/- 0.20mm,
CQTEAGLEXG018,50.8,1.1,20/10,10,$9.50 ,$8.60 ,$7.95 ,$7.40 ,N/A,+/- 50um,+/- 0.20mm,
CGS1001,76.2,0.3,80/50,10,$9.10 ,$8.40 ,$7.80 ,$7.30 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$5.50 
CGS1002,76.2,0.3,60/40,10,$10.40 ,$9.60 ,$8.90 ,$8.30 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$6.30 
CGS1003,76.2,0.3,40/20,10,$12.00 ,$11.10 ,$10.30 ,$9.60 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$7.20 
CGS1004,76.2,0.3,20/10,10,$14.20 ,$13.20 ,$12.20 ,$11.40 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$8.60 
CGS1005,76.2,0.5,80/50,10,$8.00 ,$7.40 ,$6.90 ,$6.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$4.80 
CGS1006,76.2,0.5,60/40,10,$10.20 ,$9.40 ,$8.70 ,$8.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.10 
CGS1007,76.2,0.5,40/20,10,$11.60 ,$10.70 ,$9.90 ,$9.30 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.00 
CGS1008,76.2,0.5,20/10,10,$13.30 ,$12.30 ,$11.40 ,$10.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.00 
CGS1009,76.2,0.7,80/50,10,$8.00 ,$7.30 ,$6.80 ,$6.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$4.80 
CGS1010,76.2,0.7,60/40,10,$9.70 ,$8.90 ,$8.30 ,$7.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.80 
CGS1011,76.2,0.7,40/20,10,$11.00 ,$10.10 ,$9.40 ,$8.80 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.60 
CGS1012,76.2,0.7,20/10,10,$12.70 ,$11.70 ,$10.90 ,$10.10 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.60 
CGS1013,76.2,1.1,80/50,10,$8.30 ,$7.70 ,$7.10 ,$6.70 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.00 
CGS1014,76.2,1.1,60/40,10,$10.00 ,$9.20 ,$8.50 ,$8.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.00 
CGS1015,76.2,1.1,40/20,10,$11.30 ,$10.40 ,$9.70 ,$9.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$6.80 
CGS1016,76.2,1.1,20/10,10,$13.00 ,$12.00 ,$11.20 ,$10.40 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.80 
CGS1017,100,0.3,80/50,10,$11.90 ,$11.00 ,$10.20 ,$9.60 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$7.20 
CGS1018,100,0.3,60/40,10,$13.60 ,$12.60 ,$11.70 ,$10.90 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$8.20 
CGS1019,100,0.3,40/20,10,$15.80 ,$14.60 ,$13.60 ,$12.70 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$9.50 
CGS1020,100,0.3,20/10,10,$18.80 ,$17.30 ,$16.10 ,$15.00 ,Single SEMI Flat,+/- 30um,+/- 0.20mm,$11.30 
CGS1021,100,0.5,80/50,10,$9.90 ,$9.10 ,$8.50 ,$7.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.90 
CGS1022,100,0.5,60/40,10,$12.30 ,$11.40 ,$10.60 ,$9.90 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$7.40 
CGS1023,100,0.5,40/20,10,$14.00 ,$12.90 ,$12.00 ,$11.20 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$8.40 
CGS1024,100,0.5,20/10,10,$16.20 ,$15.00 ,$13.90 ,$13.00 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$9.70 
CGS1025,100,0.7,80/50,10,$9.50 ,$8.80 ,$8.20 ,$7.60 ,Single SEMI Flat,+/- 50um,+/- 0.20mm,$5.70 
