Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,Edge,,CORESIX
CGS1300,25.4,0.5,80/50,10,$12.30,$11.40,$10.50,$9.80,None,+/- 50um,+/- 0.20mm,Hand Seam,,$7.35
CGS1301,25.4,0.5,60/40,10,$13.40,$12.40,$11.50,$10.70,None,+/- 50um,+/- 0.20mm,Hand Seam,,$8.01
CGS1302,25.4,0.5,40/20,10,$14.80,$13.70,$12.70,$11.90,None,+/- 50um,+/- 0.20mm,Hand Seam,,$8.87
CGS1303,25.4,0.5,20/10,10,$17.60,$16.20,$15.10,$14.10,None,+/- 50um,+/- 0.20mm,Hand Seam,,$10.52
CGS1304,25.4,0.7,80/50,10,$12.20,$11.30,$10.50,$9.80,None,+/- 50um,+/- 0.20mm,Hand Seam,,$7.32
CGS1305,25.4,0.7,60/40,10,$13.20,$12.20,$11.30,$10.50,None,+/- 50um,+/- 0.20mm,Hand Seam,,$7.87
CGS1306,25.4,0.7,40/20,10,$14.80,$13.70,$12.70,$11.90,None,+/- 50um,+/- 0.20mm,Hand Seam,,$8.88
CGS1307,25.4,0.7,20/10,10,$15.80,$14.50,$13.50,$12.60,None,+/- 50um,+/- 0.20mm,Hand Seam,,$9.42
CGS1308,25.4,1.1,80/50,10,$13.60,$12.50,$11.60,$10.90,None,+/- 50um,+/- 0.20mm,Hand Seam,,$8.12
CGS1309,25.4,1.1,60/40,10,$14.80,$13.70,$12.70,$11.90,None,+/- 50um,+/- 0.20mm,Hand Seam,,$8.88
CGS1310,25.4,1.1,40/20,10,$16.80,$15.50,$14.40,$13.40,None,+/- 50um,+/- 0.20mm,Hand Seam,,$10.03
CGS1311,25.4,1.1,20/10,10,$19.20,$17.80,$16.50,$15.40,None,+/- 50um,+/- 0.20mm,Hand Seam,,$11.51
CGS1312,50.8,0.5,80/50,10,$23.20,$21.40,$19.90,$18.60,None,+/- 50um,+/- 0.20mm,CNC Ground,,$13.90
CGS1313,50.8,0.5,60/40,10,$25.10,$23.20,$21.60,$20.10,None,+/- 50um,+/- 0.20mm,CNC Ground,,$15.05
CGS1314,50.8,0.5,40/20,10,$27.50,$25.40,$23.60,$22.00,None,+/- 50um,+/- 0.20mm,CNC Ground,,$16.48
CGS1315,50.8,0.5,20/10,10,$32.70,$30.20,$28.10,$26.20,None,+/- 50um,+/- 0.20mm,CNC Ground,,$19.60
CGS1316,50.8,0.7,80/50,10,$23.40,$21.60,$20.00,$18.70,None,+/- 50um,+/- 0.20mm,CNC Ground,,$13.99
CGS1317,50.8,0.7,60/40,10,$25.20,$23.30,$21.60,$20.20,None,+/- 50um,+/- 0.20mm,CNC Ground,,$15.11
CGS1318,50.8,0.7,40/20,10,$28.30,$26.10,$24.20,$22.60,None,+/- 50um,+/- 0.20mm,CNC Ground,,$16.93
CGS1319,50.8,0.7,20/10,10,$30.10,$27.80,$25.80,$24.10,None,+/- 50um,+/- 0.20mm,CNC Ground,,$18.06
CGS1320,50.8,1.1,80/50,10,$27.80,$25.70,$23.80,$22.30,None,+/- 50um,+/- 0.20mm,CNC Ground,,$16.66
