Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Orientation,Thickness Tol,Dimension Tol,CORESIX
CGS1500,76.2,0.5,80/50,10,$35.60,$32.90,$30.50,$28.50,Single SEMI Flat,+/- 50um,+/- 0.20mm,$21.32
CGS1501,76.2,0.5,60/40,10,$39.10,$36.10,$33.50,$31.30,Single SEMI Flat,+/- 50um,+/- 0.20mm,$23.42
CGS1502,76.2,0.5,40/20,10,$42.30,$39.10,$36.30,$33.90,Single SEMI Flat,+/- 50um,+/- 0.20mm,$25.36
CGS1503,76.2,0.5,20/10,10,$48.50,$44.80,$41.60,$38.80,Single SEMI Flat,+/- 50um,+/- 0.20mm,$29.08
CGS1504,76.2,0.7,80/50,10,$35.40,$32.70,$30.40,$28.40,Single SEMI Flat,+/- 50um,+/- 0.20mm,$21.23
CGS1505,76.2,0.7,60/40,10,$39.00,$36.00,$33.50,$31.20,Single SEMI Flat,+/- 50um,+/- 0.20mm,$23.38
CGS1506,76.2,0.7,40/20,10,$44.30,$40.90,$38.00,$35.50,Single SEMI Flat,+/- 50um,+/- 0.20mm,$26.56
CGS1507,76.2,0.7,20/10,10,$47.70,$44.10,$40.90,$38.20,Single SEMI Flat,+/- 50um,+/- 0.20mm,$28.61
CGS1508,76.2,1.1,80/50,10,$42.60,$39.40,$36.50,$34.10,Single SEMI Flat,+/- 50um,+/- 0.20mm,$25.55
CGS1509,76.2,1.1,60/40,10,$48.80,$45.00,$41.80,$39.00,Single SEMI Flat,+/- 50um,+/- 0.20mm,$29.24
CGS1510,76.2,1.1,40/20,10,$55.60,$51.30,$47.60,$44.50,Single SEMI Flat,+/- 50um,+/- 0.20mm,$33.30
CGS1511,76.2,1.1,20/10,10,$64.70,$59.80,$55.50,$51.80,Single SEMI Flat,+/- 50um,+/- 0.20mm,$38.81
CGS1512,100,0.5,80/50,10,$40.50,$37.40,$34.80,$32.40,Single SEMI Flat,+/- 50um,+/- 0.20mm,$24.30
CGS1513,100,0.5,60/40,10,$44.60,$41.20,$38.30,$35.70,Single SEMI Flat,+/- 50um,+/- 0.20mm,$26.75
CGS1514,100,0.5,40/20,10,$48.40,$44.70,$41.50,$38.70,Single SEMI Flat,+/- 50um,+/- 0.20mm,$29.01
CGS1515,100,0.5,20/10,10,$55.50,$51.30,$47.60,$44.40,Single SEMI Flat,+/- 50um,+/- 0.20mm,$33.30
CGS1516,100,0.7,80/50,10,$38.10,$35.20,$32.70,$30.50,Single SEMI Flat,+/- 50um,+/- 0.20mm,$22.84
CGS1517,100,0.7,60/40,10,$42.00,$38.80,$36.00,$33.60,Single SEMI Flat,+/- 50um,+/- 0.20mm,$25.17
CGS1518,100,0.7,40/20,10,$47.80,$44.10,$40.90,$38.20,Single SEMI Flat,+/- 50um,+/- 0.20mm,$28.62
CGS1519,100,0.7,20/10,10,$51.40,$47.50,$44.10,$41.20,Single SEMI Flat,+/- 50um,+/- 0.20mm,$30.84
CGS1520,100,1.1,80/50,10,$44.80,$41.40,$38.40,$35.90,Single SEMI Flat,+/- 50um,+/- 0.20mm,$26.87
CGS1521,100,1.1,60/40,10,$51.50,$47.50,$44.10,$41.20,Single SEMI Flat,+/- 50um,+/- 0.20mm,$30.86
CGS1522,100,1.1,40/20,10,$58.70,$54.20,$50.30,$46.90,Single SEMI Flat,+/- 50um,+/- 0.20mm,$35.17
CGS1523,100,1.1,20/10,10,$68.40,$63.10,$58.60,$54.70,Single SEMI Flat,+/- 50um,+/- 0.20mm,$40.99
CGS1524,150,0.5,80/50,10,$50.00,$46.20,$42.90,$40.00,Single SEMI Flat,+/- 50um,+/- 0.20mm,$29.99
CGS1525,150,0.5,60/40,10,$54.50,$50.30,$46.70,$43.60,Single SEMI Flat,+/- 50um,+/- 0.20mm,$32.67
CGS1526,150,0.5,40/20,10,$59.70,$55.10,$51.20,$47.80,Single SEMI Flat,+/- 50um,+/- 0.20mm,$35.78
CGS1527,150,0.5,20/10,10,$65.70,$60.70,$56.40,$52.60,Single SEMI Flat,+/- 50um,+/- 0.20mm,$39.41
CGS1528,150,0.7,80/50,10,$45.50,$42.00,$39.00,$36.40,Single SEMI Flat,+/- 50um,+/- 0.20mm,$27.25
CGS1529,150,0.7,60/40,10,$47.40,$43.80,$40.70,$38.00,Single SEMI Flat,+/- 50um,+/- 0.20mm,$28.43
