Item Number,Material Grade,Diameter (mm),Dimension Tol,Thickness (mm),Thickness Tol,Orientation ,Finish,TTV,Bow,Edge,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Packaging
CQTLT001,SAW,76.2,+/- 0.20mm,0.35,+/- 50um,X112/Y42-cut,SSP,5,25,CNC ground,10,$57.70 ,$46.20 ,$44.40 ,$41.30 ,Jar Pk
CQTLT002,SAW,76.2,+/- 0.20mm,0.35,+/- 50um,X112/Y42-cut,DSP,3,15,CNC ground,10,$84.70 ,$67.70 ,$65.10 ,$60.50 ,Jar Pk
CQTLT003,Optical ,76.2,+/- 0.20mm,0.35,+/- 50um,X-cut,DSP,3,15,CNC ground,10,$192.40 ,$153.90 ,$148.00 ,$137.40 ,Jar Pk
CQTLT004,Optical ,76.2,+/- 0.20mm,0.35,+/- 50um,Z-cut,DSP,3,15,CNC ground,10,$192.40 ,$153.90 ,$148.00 ,$137.40 ,Jar Pk
CQTLT005,SAW,76.2,+/- 0.20mm,0.5,+/- 50um,X112/Y42-cut,SSP,5,25,CNC ground,10,$61.60 ,$49.30 ,$47.40 ,$44.00 ,Jar Pk
CQTLT006,SAW,76.2,+/- 0.20mm,0.5,+/- 50um,X112/Y42-cut,DSP,3,15,CNC ground,10,$88.50 ,$70.80 ,$68.10 ,$63.20 ,Jar Pk
CQTLT007,Optical ,76.2,+/- 0.20mm,0.5,+/- 50um,X-cut,DSP,3,15,CNC ground,10,$192.40 ,$153.90 ,$148.00 ,$137.40 ,Jar Pk
CQTLT008,Optical ,76.2,+/- 0.20mm,0.5,+/- 50um,Z-cut,DSP,3,15,CNC ground,10,$211.60 ,$169.30 ,$162.80 ,$151.10 ,Jar Pk
CQTLT009,SAW,100,+/- 0.20mm,0.35,+/- 50um,X112/Y42-cut,SSP,10,35,CNC ground,10,$100.00 ,$80.00 ,$77.00 ,$71.50 ,Jar Pk
CQTLT010,SAW,100,+/- 0.20mm,0.35,+/- 50um,X112/Y42-cut,DSP,5,25,CNC ground,10,$123.10 ,$98.50 ,$94.70 ,$88.00 ,Jar Pk
CQTLT011,Optical ,100,+/- 0.20mm,0.35,+/- 50um,X-cut,DSP,5,25,CNC ground,10,$346.20 ,$277.00 ,$266.30 ,$247.30 ,Jar Pk
CQTLT012,Optical ,100,+/- 0.20mm,0.35,+/- 50um,Z-cut,DSP,5,25,CNC ground,10,$346.20 ,$277.00 ,$266.30 ,$247.30 ,Jar Pk
CQTL160118-1,SAW,100,+/- 0.20mm,0.35,+/- 50um,46.3Y-Cut,SSP,10,40,CNC ground,10,$97.30 ,$88.90 ,$86.10 ,$82.10 ,Jar Pk
CQTL160118-3,SAW,100,+/- 0.20mm,0.35,+/- 50um,46.3Y-Cut,DSP,10,40,CNC ground,10,$133.40 ,$130.60 ,$126.40 ,$120.60 ,Jar Pk
CQTLT013,SAW,100,+/- 0.20mm,0.5,+/- 50um,X112/Y42-cut,SSP,10,35,CNC ground,10,$100.00 ,$80.00 ,$77.00 ,$71.50 ,Jar Pk
CQTLT014,SAW,100,+/- 0.20mm,0.5,+/- 50um,X112/Y42-cut,DSP,5,25,CNC ground,10,$134.70 ,$107.70 ,$103.60 ,$96.20 ,Jar Pk
CQTLT015,Optical ,100,+/- 0.20mm,0.5,+/- 50um,X-cut,DSP,5,25,CNC ground,10,$346.20 ,$277.00 ,$266.30 ,$247.30 ,Jar Pk
CQTLT016,Optical ,100,+/- 0.20mm,0.5,+/- 50um,Z-cut,DSP,5,25,CNC ground,10,$346.20 ,$277.00 ,$266.30 ,$247.30 ,Jar Pk
CQTL160118-2,SAW,100,+/- 0.20mm,0.5,+/- 50um,46.3Y-Cut,SSP,5,30,CNC ground,10,$102.80,$97.30,$94.10,$89.80,Jar Pk
CQTL160118-4,SAW,100,+/- 0.20mm,0.5,+/- 50um,46.3Y-Cut,DSP,5,30,CNC ground,10,$138.90,$136.20,$131.80,$125.70,Jar Pk
