Item Number,Material Grade,Diameter (mm),Dimension Tol,Thickness (mm),Thickness Tol,Orientation ,Finish,TTV,Bow,Edge,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Packaging
CQTSQ001,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,42.75ST,SSP,5,10,CNC ground,10,$16.20,$9.20,$5.50,$3.40,Jar Pk
CQTSQ002,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,42.75ST,DSP,5,10,CNC ground,10,$15.00,$8.40,$5.00,$3.10,Jar Pk
CQTSQ003,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,X-cut,SSP,5,10,CNC ground,10,$18.10,$10.30,$6.10,$3.70,Jar Pk
CQTSQ004,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,X-cut,DSP,5,10,CNC ground,10,$16.70,$9.50,$5.60,$3.50,Jar Pk
CQTSQ005,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,Y-cut,SSP,5,10,CNC ground,10,$18.80,$10.70,$6.40,$3.90,Jar Pk
CQTSQ006,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,Y-cut,DSP,5,10,CNC ground,10,$17.40,$9.90,$5.90,$3.60,Jar Pk
CQTSQ007,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,Z-cut,SSP,5,10,CNC ground,10,$15.80,$9.00,$5.40,$3.30,Jar Pk
CQTSQ008,SAW,25.4,+/- 0.20mm,0.35,+/- 50um,Z-cut,DSP,5,10,CNC ground,10,$14.50,$8.20,$4.90,$3.00,Jar Pk
CQTSQ009,Optical ,25.4,+/- 0.20mm,0.35,+/- 50um,Z-cut,SSP,5,10,CNC ground,10,$16.50,$9.50,$5.60,$3.40,Jar Pk
CQTSQ010,Optical ,25.4,+/- 0.20mm,0.35,+/- 50um,Z-cut,DSP,5,10,CNC ground,10,$15.10,$8.60,$5.10,$3.10,Jar Pk
CQTSQ011,SAW,25.4,+/- 0.20mm,0.5,+/- 50um,42.75ST,SSP,5,10,CNC ground,10,$15.70,$8.90,$5.30,$3.20,Jar Pk
CQTSQ012,SAW,25.4,+/- 0.20mm,0.5,+/- 50um,42.75ST,DSP,5,10,CNC ground,10,$14.40,$8.10,$4.80,$2.90,Jar Pk
CQTSQ013,SAW,25.4,+/- 0.20mm,0.5,+/- 50um,X-cut,SSP,5,10,CNC ground,10,$17.40,$9.90,$5.90,$3.60,Jar Pk
CQTSQ014,SAW,25.4,+/- 0.20mm,0.5,+/- 50um,X-cut,DSP,5,10,CNC ground,10,$16.00,$9.10,$5.40,$3.30,Jar Pk
