Item Number,Description,OD (mm),OD Tol,Wall,Wall Tol,ID (mm),Stock Length,Pcs/Case,,Stemmerich Pricing,, Full Length Price ,Price/inch,Price Each,
244000C,TUBING (STANDARD),100,1.4,2.4,0.23,95.2,1500,3,$60.92 ,$4.65 ,$55.80 ,$87.03 ,$6.64 ,$79.71 ,
244040C,TUBING (STANDARD),4,0.3,0.8,0.08,2.4,1500,400,$0.68 ,$0.05 ,$0.60 ,$0.97 ,$0.07 ,$0.86 ,
244050C,TUBING (STANDARD),5,0.3,0.8,0.1,3.4,1500,256,$0.80 ,$0.06 ,$0.72 ,$1.14 ,$0.09 ,$1.03 ,
244060C,TUBING (STANDARD),6,0.3,1,0.1,4,1500,170,$1.13 ,$0.09 ,$1.08 ,$1.61 ,$0.13 ,$1.54 ,
244070C,TUBING (STANDARD),7,0.3,1,0.1,5,1500,122,$1.34 ,$0.10 ,$1.20 ,$1.91 ,$0.14 ,$1.71 ,
244080C,TUBING (STANDARD),8,0.3,1,0.1,6,1500,100,$1.47 ,$0.11 ,$1.32 ,$2.10 ,$0.16 ,$1.89 ,
244081C,TUBING (STANDARD),8,0.3,1.5,0.15,5,1500,100,$1.95 ,$0.15 ,$1.80 ,$2.79 ,$0.21 ,$2.57 ,
244082C,TUBING (STANDARD),8,0.3,2,0.2,3.98,1500,100,$2.49 ,$0.19 ,$2.28 ,$3.56 ,$0.27 ,$3.26 ,
244090C,TUBING (STANDARD),9,0.3,1,0.1,7,1500,81,$1.64 ,$0.13 ,$1.56 ,$2.34 ,$0.19 ,$2.23 ,
244100C,TUBING (STANDARD),10,0.3,1,0.1,8,1500,145,$1.48 ,$0.11 ,$1.32 ,$2.11 ,$0.16 ,$1.89 ,
244101C,TUBING (STANDARD),10,0.3,1.5,0.15,7,1500,64,$2.13 ,$0.16 ,$1.92 ,$3.04 ,$0.23 ,$2.74 ,
244102C,TUBING (STANDARD),10,0.3,2,0.2,6,1500,64,$2.64 ,$0.20 ,$2.40 ,$3.77 ,$0.29 ,$3.43 ,
244103C,TUBING (STANDARD),9,0.3,1.5,0.15,6,1500,81,$2.18 ,$0.17 ,$2.04 ,$3.11 ,$0.24 ,$2.91 ,
244104C,TUBING (STANDARD),9,0.3,2,0.2,4.98,1500,81,$2.81 ,$0.21 ,$2.52 ,$4.01 ,$0.30 ,$3.60 ,
244105C,TUBING (STANDARD),11,0.3,1.5,0.15,8,1500,121,$2.37 ,$0.18 ,$2.16 ,$3.39 ,$0.26 ,$3.09 ,
244106C,TUBING (STANDARD),14,0.3,1.6,0.15,10.8,1500,64,$3.50 ,$0.27 ,$3.24 ,$5.00 ,$0.39 ,$4.63 ,
244107C,TUBING (STANDARD),19,0.3,2.25,0.2,14.5,1500,36,$6.51 ,$0.50 ,$6.00 ,$9.30 ,$0.71 ,$8.57 ,
244108C,TUBING (STANDARD),22,0.4,2.25,0.23,17.5,1500,36,$7.63 ,$0.58 ,$6.96 ,$10.90 ,$0.83 ,$9.94 ,
244110C,TUBING (STANDARD),11,0.3,1,0.08,9,1500,121,$1.67 ,$0.13 ,$1.56 ,$2.39 ,$0.19 ,$2.23 ,
