Item Number,Description,OD (mm),OD Tol,Wall,Wall Tol,ID (mm),Stock Length,Pcs/Case,Stmch,Price Each
244000,TUBING (STANDARD),100,1.4,2.4,0.23,95.2,1500,3,$60.92 ,$87.03 
244040,TUBING (STANDARD),4,0.3,0.8,0.08,2.4,1500,400,$0.68 ,$0.97 
244050,TUBING (STANDARD),5,0.3,0.8,0.1,3.4,1500,256,$0.80 ,$1.14 
244060,TUBING (STANDARD),6,0.3,1,0.1,4,1500,170,$1.13 ,$1.61 
244070,TUBING (STANDARD),7,0.3,1,0.1,5,1500,122,$1.34 ,$1.91 
244080,TUBING (STANDARD),8,0.3,1,0.1,6,1500,100,$1.47 ,$2.10 
244081,TUBING (STANDARD),8,0.3,1.5,0.15,5,1500,100,$1.95 ,$2.79 
244082,TUBING (STANDARD),8,0.3,2,0.2,3.98,1500,100,$2.49 ,$3.56 
244090,TUBING (STANDARD),9,0.3,1,0.1,7,1500,81,$1.64 ,$2.34 
244100,TUBING (STANDARD),10,0.3,1,0.1,8,1500,145,$1.48 ,$2.11 
244101,TUBING (STANDARD),10,0.3,1.5,0.15,7,1500,64,$2.13 ,$3.04 
244102,TUBING (STANDARD),10,0.3,2,0.2,6,1500,64,$2.64 ,$3.77 
244103,TUBING (STANDARD),9,0.3,1.5,0.15,6,1500,81,$2.18 ,$3.11 
244104,TUBING (STANDARD),9,0.3,2,0.2,4.98,1500,81,$2.81 ,$4.01 
244105,TUBING (STANDARD),11,0.3,1.5,0.15,8,1500,121,$2.37 ,$3.39 
244106,TUBING (STANDARD),14,0.3,1.6,0.15,10.8,1500,64,$3.50 ,$5.00 
244107,TUBING (STANDARD),19,0.3,2.25,0.2,14.5,1500,36,$6.51 ,$9.30 
244108,TUBING (STANDARD),22,0.4,2.25,0.23,17.5,1500,36,$7.63 ,$10.90 
244110,TUBING (STANDARD),11,0.3,1,0.08,9,1500,121,$1.67 ,$2.39 
244120,TUBING (STANDARD),12,0.3,1,0.1,10,1500,100,$1.90 ,$2.71 
244130,TUBING (STANDARD),13,0.3,1.2,0.08,10.6,1500,81,$2.39 ,$3.41 
244131,TUBING (STANDARD),11,0.3,2,0.2,6.98,1500,50,$2.87 ,$4.10 
244140,TUBING (STANDARD),14,0.3,1.2,0.1,11.6,1500,64,$2.94 ,$4.20 
244150,TUBING (STANDARD),15,0.3,1.2,0.1,12.6,1500,49,$3.07 ,$4.39 
244160,TUBING (STANDARD),16,0.3,1.2,0.1,13.6,1500,49,$3.27 ,$4.67 
244170,TUBING (STANDARD),17,0.3,1.2,0.1,14.6,1500,64,$3.37 ,$4.81 
244180,TUBING (STANDARD),18,0.3,1.2,0.1,15.6,1500,64,$3.72 ,$5.31 
244190,TUBING (STANDARD),19,0.3,1.2,0.1,16.6,1500,64,$2.15 ,$3.07 
244200,TUBING (STANDARD),20,0.4,1.2,0.1,17.6,1500,49,$4.00 ,$5.71 
244220,TUBING (STANDARD),22,0.4,1.5,0.15,19,1500,36,$5.59 ,$7.99 
244230,TUBING (STANDARD),178,2.2,4.1,0.4,169.8,1500,1,$202.40 ,$289.14 
244250,TUBING (STANDARD),25,0.4,1.5,0.15,22,1500,36,$6.19 ,$8.84 
244280,TUBING (STANDARD),28,0.4,1.5,0.15,25,1500,25,$7.00 ,$10.00 
244300,TUBING (STANDARD),30,0.71,1.8,0.18,26.4,1500,25,$8.65 ,$12.36 
244310,TUBING (STANDARD),110,1.8,2.6,0.25,104.8,1500,3,$71.56 ,$102.23 
244320,TUBING (STANDARD),32,0.71,1.8,0.18,28.4,1500,25,$9.19 ,$13.13 
244330,TUBING (STANDARD),120,1.8,3,0.3,114,1500,3,$88.27 ,$126.10 
244340,TUBING (STANDARD),125,1.8,3,0.3,119,1500,3,$86.14 ,$123.06 
244350,TUBING (STANDARD),35,0.71,2,0.2,31,1500,16,$11.38 ,$16.26 
244360,TUBING (STANDARD),130,1.8,3,0.3,124,1500,2,$101.45 ,$144.93 
244370,TUBING (STANDARD),140,2,3.5,0.4,133,1500,2,$130.36 ,$186.23 
244380,TUBING (STANDARD),38,0.7,2,0.2,34,1500,16,$13.39 ,$19.13 
244390,TUBING (STANDARD),150,2.01,3.5,0.36,142.98,1500,1,$133.84 ,$191.20 
244410,TUBING (STANDARD),41,0.9,2,0.2,37,1500,16,$13.74 ,$19.63 
244450,TUBING (STANDARD),45,1,2,0.2,41,1500,16,$15.36 ,$21.94 
244480,TUBING (STANDARD),48,1,2,0.2,44,1500,9,$19.49 ,$27.84 
244510,TUBING (STANDARD),51,1,2,0.2,47,1500,9,$18.72 ,$26.74 
