Item Number,Size (mm),Thickness (mm),Min Qty,Quantity,Price Each,Conductivity Type,Dopant,Grade,Res (min),Res (max),Thickness (max),Orientation,TTV,Material,Finish,Film,Lasermark
AB0001,200,700,25,75,28.00,N,Phosphorus,Prime,500,,750,Notch,,CZ,SSP,,
AB0002,300,750,15,15,50.63,N,Phosphorus,Mechanical,20,40,800,Notch,,CZ,DSP,,Backside
AB0003,150,650,25,50,20.00,P,Boron,Epi,0.01,0.02,700,1 SEMI Flat,2um,CZ,SSP,Poly Si/Oxide Back,Backside
AB0004,150,600,25,360,17.00,N,Arsenic,Prime,0.001,0.003,650,1 SEMI Flat,3um,CZ,SSP,Poly Si/Oxide Back,None
AB0005,200,700,25,75,28.00,N,Phosphorus,Prime,500,,750,Notch,,CZ,SSP,,
AB0006,300,750,15,15,50.63,N,Phosphorus,Mechanical,20,40,800,Notch,,CZ,DSP,,Backside
AB0007,150,650,25,50,20.00,P,Boron,Epi,0.01,0.02,700,1 SEMI Flat,,CZ,SSP,Poly Si/Oxide Back,Backside
AB0008,150,600,25,360,17.00,N,Arsenic,Prime,0.001,0.003,650,1 SEMI Flat,,CZ,SSP,Poly Si/Oxide Back,None
AB0009,200,700,25,75,28.00,N,Phosphorus,Prime,500,,750,Notch,2um,CZ,SSP,,
AB0010,300,750,15,15,50.63,N,Phosphorus,Mechanical,20,40,800,Notch,5um,CZ,DSP,,Backside
AB0011,150,650,25,50,20.00,P,Boron,Epi,0.01,0.02,700,1 SEMI Flat,,CZ,SSP,Poly Si/Oxide Back,Backside
AB0012,150,600,25,360,17.00,N,Arsenic,Prime,0.001,0.003,650,1 SEMI Flat,,CZ,SSP,Poly Si/Oxide Back,None
AB0013,200,700,25,75,28.00,N,Phosphorus,Prime,500,,750,Notch,,CZ,SSP,,
AB0014,300,750,15,15,50.63,N,Phosphorus,Mechanical,20,40,800,Notch,,CZ,DSP,,Backside
AB0015,150,650,25,50,20.00,P,Boron,Epi,0.01,0.02,700,1 SEMI Flat,,CZ,SSP,Poly Si/Oxide Back,Backside
AB0016,150,600,25,360,17.00,N,Arsenic,Prime,0.001,0.003,650,1 SEMI Flat,,CZ,SSP,Poly Si/Oxide Back,None
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
