Item Number,Material,Thickness (mm),Stock Length,Stock Width,Price (Sheet),Price Each,Length,Width,Min Quantity
EXGSTK030,Eagle XG,0.3,1510,960,$405.30 ,$35.60 ,0,0,0
EXGSTK040,Eagle XG,0.4,1350,1240,$287.20 ,$21.90 ,0,0,0
EXGSTK050,Eagle XG,0.5,1350,1230,$240.70 ,$18.50 ,0,0,0
EXGSTK070,Eagle XG,0.7,1350,1150,$215.40 ,$17.70 ,0,0,0
EXGSTK110,Eagle XG,1.1,1340,1550,$348.80 ,$21.40 ,0,0,0
BORSTK070,Borofloat,0.7,850.9,1123.95,$120.00 ,$11.66 ,0,0,0
BORSTK110,Borofloat,1.1,850.9,1123.95,$107.00 ,$10.39 ,0,0,0
BORSTK175,Borofloat,1.75,850.9,1123.95,$64.00 ,$6.22 ,0,0,0
BORSTK200,Borofloat,2,850.9,1123.95,$61.00 ,$5.93 ,0,0,0
BORSTK225,Borofloat,2.25,850.9,1123.95,$60.00 ,$5.83 ,0,0,0
BORSTK275,Borofloat,2.75,850.9,1123.95,$60.00 ,$5.83 ,0,0,0
BORSTK330,Borofloat,3.3,850.9,1123.95,$65.00 ,$6.31 ,0,0,0
