Item Number,Diameter (mm),Thickness (min),Thickness (max),Finish,Min Quantity,Available,Online Price,Price Each,Conductivity,Dopant,Orientation,Res (min),Res (max),Grade,Surface,Flat,Particles,TTV,Bow,Material,,Film,Film Thickness,Base Price,WRS Store Name,WRS Part #,On Hand
15757,"2""",254,304,DSP,25,50,11.5,$15.33 ,N,Phosphorus,<100>,1,10,Prime,DSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$13.00 ,2N0DSP-001,2N01-10DSP-INV,150
4148,"2""",254,304,SSP,25,289,10,$13.33 ,N,Phosphorus,<100>,1,5,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2N0SSP-002,2N01-5SSP-INV,314
15785,"2""",254,304,DSP,25,165,11.5,$15.33 ,N,Phosphorus,<100>,10,20,Prime,DSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$13.00 ,2N0DSP-002,2N010-20DSP-INV,165
4150,"2""",254,304,SSP,25,160,10,$13.33 ,N,Phosphorus,<100>,10,20,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2N0SSP-004,2N010-20SSP-INV,160
4149,"2""",254,304,SSP,25,347,10,$13.33 ,N,Phosphorus,<100>,5,10,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2N0SSP-003,2N05-10SSP-INV,347
4146,"2""",254,304,SSP,25,42,10,$13.33 ,P,Boron,<100>,0.01,0.02,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2P0SSP-001,2P0.01-.02SSP-INV,42
15786,"2""",254,304,DSP,25,86,11,$14.67 ,P,Boron,<100>,1,10,Prime,DSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$13.00 ,2P0DSP-001,2P01-10DSP-INV,161
4141,"2""",254,304,SSP,25,471,10,$13.33 ,P,Boron,<100>,1,5,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2P0SSP-002,2P01-5SSP-INV,471
15787,"2""",254,304,DSP,25,95,11,$14.67 ,P,Boron,<100>,10,20,Prime,DSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$13.00 ,2P0DSP-002,2P010-20DSP-INV,95
4145,"2""",254,304,SSP,25,334,10,$13.33 ,P,Boron,<100>,10,20,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2P0SSP-004,2P010-20SSP-INV,334
4142,"2""",254,304,SSP,25,316,10,$13.33 ,P,Boron,<100>,5,10,Prime,SSP,2 SEMI Flats,<10@.5,10,,CZ,,,,$11.00 ,2P0SSP-003,2P05-10SSP-INV,316
