Item Number,Material,Size (mm),Thickness (mm),Quality,Quantity,Price Each,Flatness,Roughness,TTV,Orientation,Thickness Tol,Dimension Tol,Grade
GS001,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS002,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS003,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS004,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS005,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS006,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS007,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS008,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS009,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS010,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS011,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS012,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS013,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS014,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS015,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS016,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS017,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS018,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS019,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS020,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS021,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS022,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS023,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS024,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS025,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS026,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS027,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS028,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS029,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS030,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS031,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS032,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS033,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS034,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS035,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS036,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS037,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS038,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS039,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS040,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS041,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS042,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS043,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS044,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS045,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS046,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS047,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS048,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS049,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS050,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS051,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS052,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
GS053,Silicon,200mm,4,40/20,100,40,5,,5,Notch, +/- 25um, +/- 0.20mm,UV
GS054,Silicon,300mm,2,40/20,500,50,,4,,, +/- 15um, +/- 0.10mm,
GS055,Silicon,300mm,8,40/20,5,1.5, ,GA,,, +/- 5um, +/- 0.20mm,
GS056,Silicon,200mm,7,40/20,10,5,3,1,2,SEMI Flat, +/- 25um, +/- 0.20mm,
GS057,Silicon,300mm,6,40/20,20,10,,2,3,SEMI Notch, +/- 50um, +/- 0.20mm,
GS058,Silicon,300mm,5,40/20,50,20,4,3,4,, +/- 20um, +/- 0.10mm,
