Item Number,Description,Diameter (mm),Thickness (mm),Quantity,Price Each
ABC001,.250 x .020 Circular Sapphire Windows,0.25,0.02,100,10
ABC002,.250 x .025 Circular Sapphire Windows,0.25,0.025,100,10
ABC003,.250 x .040 Circular Sapphire Windows,0.25,0.04,100,10
ABC004,.250 x .060 Circular Sapphire Windows,0.25,0.06,100,10
ABC005,.250 x .080 Circular Sapphire Windows,0.25,0.08,100,10
ABC006,.250 x .100 Circular Sapphire Windows,0.25,0.1,100,10
ABC007,.250 x .125 Circular Sapphire Windows,0.25,0.125,100,10
ABC008,.250 x .250 Circular Sapphire Windows,0.25,0.25,100,10
ABC009,.375 x .020 Circular Sapphire Windows,0.375,0.02,100,10
ABC010,.375 x .040 Circular Sapphire Windows,0.375,0.04,100,10
ABC011,.375 x .060 Circular Sapphire Windows,0.375,0.06,100,10
ABC012,.375 x .080 Circular Sapphire Windows,0.375,0.08,100,10
ABC013,.375 x .125 Circular Sapphire Windows,0.375,0.125,100,10
ABC014,.375 x .250 Circular Sapphire Windows,0.375,0.25,100,10
ABC015,.500 x .005 Circular Sapphire Windows,0.5,0.005,100,10
ABC016,.500 x .010 Circular Sapphire Windows,0.5,0.01,100,10
ABC017,.500 x .020 Circular Sapphire Windows,0.5,0.02,100,10
ABC018,.500 x .025 Circular Sapphire Windows,0.5,0.025,100,10
ABC019,.500 x .030 Circular Sapphire Windows,0.5,0.03,100,10
ABC020,.500 x .040 Circular Sapphire Windows,0.5,0.04,100,10
ABC021,.500 x .050 Circular Sapphire Windows,0.5,0.05,100,10
ABC022,.500 x .060 Circular Sapphire Windows,0.5,0.06,100,10
ABC023,.500 x .080 Circular Sapphire Windows,0.5,0.08,100,10
ABC024,.500 x .100 Circular Sapphire Windows,0.5,0.1,100,10
ABC025,.500 x .125 Circular Sapphire Windows,0.5,0.125,100,10
ABC026,.500 x .250 Circular Sapphire Windows,0.5,0.25,100,10
ABC027,.500 x .500 Circular Sapphire Windows,0.5,0.5,100,10
ABC028,.625 x .020 Circular Sapphire Windows,0.625,0.02,100,10
ABC029,.625 x .040 Circular Sapphire Windows,0.625,0.04,100,10
ABC030,.625 x .080 Circular Sapphire Windows,0.625,0.08,100,10
ABC031,.625 x .125 Circular Sapphire Windows,0.625,0.125,100,10
ABC032,.750 x .020 Circular Sapphire Windows,0.75,0.02,100,10
ABC033,.750 x .040 Circular Sapphire Windows,0.75,0.04,100,10
ABC034,.750 x .060 Circular Sapphire Windows,0.75,0.06,100,10
ABC035,.750 x .080 Circular Sapphire Windows,0.75,0.08,100,10
ABC036,.750 x .125 Circular Sapphire Windows,0.75,0.125,100,10
ABC037,.750 x .250 Circular Sapphire Windows,0.75,0.25,100,10
ABC038,.750 x .500 Circular Sapphire Windows,0.75,0.5,100,10
ABC039,.750 x .750 Circular Sapphire Windows,0.75,0.75,100,10
ABC040,.875 x .020 Circular Sapphire Windows,0.875,0.02,100,10
